adgroup_name,keyword,keyword_id,status,site_slug,현재착지,제안정본slug,비고
A_분양,괴정3구역재건축,nkw-a001-01-000008540645568,PAUSED,괴정3구역-재건축,https://kadeora.app/apt/%EA%B4%B4%EC%A0%953%EA%B5%AC%EC%97%AD-%EC%9E%AC%EA%B1%B4%EC%B6%95,괴정3-재건축,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,괴정3구역재건축견본주택,nkw-a001-01-000008540645573,PAUSED,괴정3구역-재건축,https://kadeora.app/apt/%EA%B4%B4%EC%A0%953%EA%B5%AC%EC%97%AD-%EC%9E%AC%EA%B1%B4%EC%B6%95,괴정3-재건축,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,괴정3구역재건축모델하우스,nkw-a001-01-000008540645570,PAUSED,괴정3구역-재건축,https://kadeora.app/apt/%EA%B4%B4%EC%A0%953%EA%B5%AC%EC%97%AD-%EC%9E%AC%EA%B1%B4%EC%B6%95,괴정3-재건축,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,괴정3구역재건축분양,nkw-a001-01-000008540645574,PAUSED,괴정3구역-재건축,https://kadeora.app/apt/%EA%B4%B4%EC%A0%953%EA%B5%AC%EC%97%AD-%EC%9E%AC%EA%B1%B4%EC%B6%95,괴정3-재건축,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,괴정3구역재건축분양가,nkw-a001-01-000008540645569,PAUSED,괴정3구역-재건축,https://kadeora.app/apt/%EA%B4%B4%EC%A0%953%EA%B5%AC%EC%97%AD-%EC%9E%AC%EA%B1%B4%EC%B6%95,괴정3-재건축,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,괴정3구역재건축분양일정,nkw-a001-01-000008540645571,PAUSED,괴정3구역-재건축,https://kadeora.app/apt/%EA%B4%B4%EC%A0%953%EA%B5%AC%EC%97%AD-%EC%9E%AC%EA%B1%B4%EC%B6%95,괴정3-재건축,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,괴정3구역재건축일반분양,nkw-a001-01-000008540645576,PAUSED,괴정3구역-재건축,https://kadeora.app/apt/%EA%B4%B4%EC%A0%953%EA%B5%AC%EC%97%AD-%EC%9E%AC%EA%B1%B4%EC%B6%95,괴정3-재건축,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,괴정3구역재건축입주,nkw-a001-01-000008540645575,PAUSED,괴정3구역-재건축,https://kadeora.app/apt/%EA%B4%B4%EC%A0%953%EA%B5%AC%EC%97%AD-%EC%9E%AC%EA%B1%B4%EC%B6%95,괴정3-재건축,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,괴정3구역재건축조합원분양,nkw-a001-01-000008540645577,PAUSED,괴정3구역-재건축,https://kadeora.app/apt/%EA%B4%B4%EC%A0%953%EA%B5%AC%EC%97%AD-%EC%9E%AC%EA%B1%B4%EC%B6%95,괴정3-재건축,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,괴정3구역재건축청약,nkw-a001-01-000008540645572,PAUSED,괴정3구역-재건축,https://kadeora.app/apt/%EA%B4%B4%EC%A0%953%EA%B5%AC%EC%97%AD-%EC%9E%AC%EA%B1%B4%EC%B6%95,괴정3-재건축,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,초량호반써밋센트럴베이,nkw-a001-01-000008540645518,PAUSED,초량-호반써밋-센트럴베이,https://kadeora.app/apt/%EC%B4%88%EB%9F%89-%ED%98%B8%EB%B0%98%EC%8D%A8%EB%B0%8B-%EC%84%BC%ED%8A%B8%EB%9F%B4%EB%B2%A0%EC%9D%B4,초량3-재개발,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,초량호반써밋센트럴베이견본주택,nkw-a001-01-000008540645523,PAUSED,초량-호반써밋-센트럴베이,https://kadeora.app/apt/%EC%B4%88%EB%9F%89-%ED%98%B8%EB%B0%98%EC%8D%A8%EB%B0%8B-%EC%84%BC%ED%8A%B8%EB%9F%B4%EB%B2%A0%EC%9D%B4,초량3-재개발,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,초량호반써밋센트럴베이모델하우스,nkw-a001-01-000008540645520,PAUSED,초량-호반써밋-센트럴베이,https://kadeora.app/apt/%EC%B4%88%EB%9F%89-%ED%98%B8%EB%B0%98%EC%8D%A8%EB%B0%8B-%EC%84%BC%ED%8A%B8%EB%9F%B4%EB%B2%A0%EC%9D%B4,초량3-재개발,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,초량호반써밋센트럴베이분양,nkw-a001-01-000008540645524,PAUSED,초량-호반써밋-센트럴베이,https://kadeora.app/apt/%EC%B4%88%EB%9F%89-%ED%98%B8%EB%B0%98%EC%8D%A8%EB%B0%8B-%EC%84%BC%ED%8A%B8%EB%9F%B4%EB%B2%A0%EC%9D%B4,초량3-재개발,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,초량호반써밋센트럴베이분양가,nkw-a001-01-000008540645519,PAUSED,초량-호반써밋-센트럴베이,https://kadeora.app/apt/%EC%B4%88%EB%9F%89-%ED%98%B8%EB%B0%98%EC%8D%A8%EB%B0%8B-%EC%84%BC%ED%8A%B8%EB%9F%B4%EB%B2%A0%EC%9D%B4,초량3-재개발,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,초량호반써밋센트럴베이분양일정,nkw-a001-01-000008540645521,PAUSED,초량-호반써밋-센트럴베이,https://kadeora.app/apt/%EC%B4%88%EB%9F%89-%ED%98%B8%EB%B0%98%EC%8D%A8%EB%B0%8B-%EC%84%BC%ED%8A%B8%EB%9F%B4%EB%B2%A0%EC%9D%B4,초량3-재개발,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,초량호반써밋센트럴베이일반분양,nkw-a001-01-000008540645526,PAUSED,초량-호반써밋-센트럴베이,https://kadeora.app/apt/%EC%B4%88%EB%9F%89-%ED%98%B8%EB%B0%98%EC%8D%A8%EB%B0%8B-%EC%84%BC%ED%8A%B8%EB%9F%B4%EB%B2%A0%EC%9D%B4,초량3-재개발,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,초량호반써밋센트럴베이입주,nkw-a001-01-000008540645525,PAUSED,초량-호반써밋-센트럴베이,https://kadeora.app/apt/%EC%B4%88%EB%9F%89-%ED%98%B8%EB%B0%98%EC%8D%A8%EB%B0%8B-%EC%84%BC%ED%8A%B8%EB%9F%B4%EB%B2%A0%EC%9D%B4,초량3-재개발,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,초량호반써밋센트럴베이조합원분양,nkw-a001-01-000008540645527,PAUSED,초량-호반써밋-센트럴베이,https://kadeora.app/apt/%EC%B4%88%EB%9F%89-%ED%98%B8%EB%B0%98%EC%8D%A8%EB%B0%8B-%EC%84%BC%ED%8A%B8%EB%9F%B4%EB%B2%A0%EC%9D%B4,초량3-재개발,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
A_분양,초량호반써밋센트럴베이청약,nkw-a001-01-000008540645522,PAUSED,초량-호반써밋-센트럴베이,https://kadeora.app/apt/%EC%B4%88%EB%9F%89-%ED%98%B8%EB%B0%98%EC%8D%A8%EB%B0%8B-%EC%84%BC%ED%8A%B8%EB%9F%B4%EB%B2%A0%EC%9D%B4,초량3-재개발,PAUSED — 가동 아님(비용 미발생). 아침 17건(ELIGIBLE)과 같은 클래스 아님
