adgroup_name,keyword,keyword_id,status,site_slug,사유
부울경_E_정비사업_1,대연8구역구역,nkw-a001-01-000008542821664,ELIGIBLE,부산-대연8구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,대연8구역구역시공사,nkw-a001-01-000008542821669,ELIGIBLE,부산-대연8구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,대연8구역구역조합,nkw-a001-01-000008542821666,ELIGIBLE,부산-대연8구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,명장5구역구역,nkw-a001-01-000008542822636,ELIGIBLE,명장5구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,명장5구역구역시공사,nkw-a001-01-000008542822638,ELIGIBLE,명장5구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,명장5구역구역조합,nkw-a001-01-000008542822637,ELIGIBLE,명장5구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,시민공원주변재정비촉진3구역구역,nkw-a001-01-000008542822284,ELIGIBLE,시민공원주변재정비촉진3구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,시민공원주변재정비촉진3구역구역시공사,nkw-a001-01-000008542822286,ELIGIBLE,시민공원주변재정비촉진3구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,시민공원주변재정비촉진3구역구역조합,nkw-a001-01-000008542822285,ELIGIBLE,시민공원주변재정비촉진3구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,시민공원주변재정비촉진4구역구역,nkw-a001-01-000008542822198,ELIGIBLE,시민공원주변재정비촉진4구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,시민공원주변재정비촉진4구역구역시공사,nkw-a001-01-000008542822200,ELIGIBLE,시민공원주변재정비촉진4구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,시민공원주변재정비촉진4구역구역조합,nkw-a001-01-000008542822199,ELIGIBLE,시민공원주변재정비촉진4구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,연산1재개발재개발,nkw-a001-01-000008542822094,ELIGIBLE,연산1재개발-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,연산1재개발재개발시공사,nkw-a001-01-000008542822097,ELIGIBLE,연산1재개발-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,연산1재개발재개발조합,nkw-a001-01-000008542822095,ELIGIBLE,연산1재개발-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,연산5구역구역,nkw-a001-01-000008542821715,ELIGIBLE,부산-연산5구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,연산5구역구역시공사,nkw-a001-01-000008542821718,ELIGIBLE,부산-연산5구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,연산5구역구역조합,nkw-a001-01-000008542821716,ELIGIBLE,부산-연산5구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,연제연산1재개발재개발,nkw-a001-01-000008542822098,ELIGIBLE,연산1재개발-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,연제연산1재개발재개발시공사,nkw-a001-01-000008542822101,ELIGIBLE,연산1재개발-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_1,연제연산1재개발재개발조합,nkw-a001-01-000008542822099,ELIGIBLE,연산1재개발-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_2,시민공원주변재정비촉진2-1구역구역,nkw-a001-01-000008542823404,ELIGIBLE,시민공원주변재정비촉진2-1구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_2,시민공원주변재정비촉진2-1구역구역시공사,nkw-a001-01-000008542823407,ELIGIBLE,시민공원주변재정비촉진2-1구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_2,시민공원주변재정비촉진2-1구역구역조합,nkw-a001-01-000008542823406,ELIGIBLE,시민공원주변재정비촉진2-1구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_2,연산11구역구역,nkw-a001-01-000008542822648,ELIGIBLE,연산11구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_2,연산11구역구역시공사,nkw-a001-01-000008542822650,ELIGIBLE,연산11구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
부울경_E_정비사업_2,연산11구역구역조합,nkw-a001-01-000008542822649,ELIGIBLE,연산11구역-재개발,이중 접미(구역구역·재개발재개발·재건축재건축) — 생성기 산출 잔재
